parameter,value,unit,status,note
season_share_2027_06,0.25,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_07,0.2,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_08,0.15,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_09,0.1,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_10,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_11,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_12,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
initial_depreciation_years,5,years,[ДОПУЩЕНИЕ]; проектный параметр,"Линейно с Y1, включая капитализированный запас"
replacement_depreciation_years,3,years,[ДОПУЩЕНИЕ]; проектный параметр,Линейно с года покупки
delay_year1_fixed,900000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"Выручка ноль; объемы и замены сдвинуты, инфляция календарная; t0 не сдвигается"
collection_delay,0,months,[ДОПУЩЕНИЕ]; проектный параметр,Нет дебиторской задолженности; нужно проверять контрактами
chemicals_customer_supplied,1,boolean,[ДОПУЩЕНИЕ]; проектный параметр,Стоимость препаратов не включена в тариф/переменные: клиент предоставляет; подтвердить договорами
vat_timing,previous_year_then_next_month,model_rule,[ДОПУЩЕНИЕ]; проектный параметр,Пороги источники12;13; проверка прошлого года и начисление со следующего месяца превышения; сезонность SEASON
treatment_fuel_logistics,150,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,Часть400; топливо и логистика
treatment_energy,50,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,Часть400; энергия зарядки
treatment_routine_service,130,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,Часть400; текущие расходники; не АКБ из CAPEX замен
treatment_ppe_disposal,70,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"Часть400; СИЗ, мойка, обращение с отходами"
monitoring_logistics,30,RUB/ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,Часть60
monitoring_energy_service,20,RUB/ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,Часть60; не амортизация
monitoring_data,10,RUB/ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,Часть60; переменная обработка данных
compliance_insurance,120000,RUB/year,[ДОПУЩЕНИЕ]; проектный параметр,Часть300000
compliance_legal,60000,RUB/year,[ДОПУЩЕНИЕ]; проектный параметр,Часть300000
compliance_agronomist,120000,RUB/year,[ДОПУЩЕНИЕ]; проектный параметр,Часть300000; экономный внешний ретейнер
admin_accounting,120000,RUB/year,[ДОПУЩЕНИЕ]; проектный параметр,Часть180000
admin_bank_other,60000,RUB/year,[ДОПУЩЕНИЕ]; проектный параметр,Часть180000
tam_farms,2000,farms,[ДОПУЩЕНИЕ]; проектный параметр,Неподтвержденная корзина спроса; не статистика РФ
sam_farms,200,farms,[ДОПУЩЕНИЕ]; проектный параметр,Нужна адресная CRM база в радиусе150км
farm_area,2000,ha,[ДОПУЩЕНИЕ]; проектный параметр,Среднее сценарной корзины
eligible_share,0.15,fraction,[ДОПУЩЕНИЕ]; проектный параметр,"Фильтр агрономии, права и спроса"
annual_passes_eligible,1.5,passes/ha,[ДОПУЩЕНИЕ]; проектный параметр,Сценарный TAM/SAM
annual_monitoring_eligible,0.5,surveys/ha,[ДОПУЩЕНИЕ]; проектный параметр,Сценарный TAM/SAM
processing_day_capacity,130,ha_pass/day,[ДОПУЩЕНИЕ]; проектный параметр,Включает переезды и подготовку
monitoring_day_capacity,500,ha_survey/day,[ДОПУЩЕНИЕ]; проектный параметр,Последовательно с внесением
season_weeks,22,weeks,[ДОПУЩЕНИЕ]; проектный параметр,154дня;100обработка+20мониторинг+34резерв
founder_funding,2500000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Не определяет корпоративную долю
investor_funding,7000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Неподтвержденное долевое финансирование
